Type,Name,Method,Element type,Element ID,Reviewed in,Detail,Procurement,BM_type,Min_num_Fbs,Max_num_Fbs,Fundamental object,Num_Fund_objs,Form,Scale,Nonstructural,Structural,Dynamic,Energetic,Kinetic,Thermo,Quantum_dyn,Evolutionary,Topological,Functional,Complexation,Sidechain,Folded,Rot_inv,Trans_inv,Electrostatic,Hydrophobic,Van der Waals,Hbond,Salt bridge,Pi,Metal,Solvent,Solute,Trapped water,Pocket/void,Fixed_size,Hierarch,Unique,Subset_Unique,Differentiable,Reversible,Guarantee_Valid,Probabilistic,Ref_frames,Graph: Node/edge?,Toxological,Metabolic,Extens,ComputCostly,Lin_comb,AG_layer,AugRatio,Implem,OSI_Avail,License,Docs,Webserver,Comment,Improv,Type,PubYr,Auth,Title,PubTitle,DOI,,,,,,,
Assumption,DE,Debye approximation,,,,Dynamic,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2013,"Luo, Tengfei; Chen, Gang",Nanoscale heat transfer – from computation to experiment,Physical Chemistry Chemical Physics,10.1039/c2cp43771f,,,,,,,
Assumption,FGR,Fermi golden rule,,,,Dynamic,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2013,"Luo, Tengfei; Chen, Gang",Nanoscale heat transfer – from computation to experiment,Physical Chemistry Chemical Physics,10.1039/c2cp43771f,,,,,,,
Case study,,Cyclophilin A,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2003,"Howard, Bruce R.; Vajdos, Felix F.; Li, Su; Sundquist, Wesley I.; Hill, Christopher P.",Structural insights into the catalytic mechanism of cyclophilin A,Nature Structural Biology,10.1038/nsb927,,,,,,,
Case study,PH,Persistent homology,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2018,"Sasaki, Kohei; Okajima, Ryo; Yamashita, Takefumi",Liquid structures characterized by a combination of the persistent homology analysis and molecular dynamics simulation,AIP Conference Proceedings,10.1063/1.5079057,,,,,,,
Case study,,Protein-ligand interactions,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thesis,2018,"Villegas, Jose",Computational Design Of Protein-Ligand and Protein-Protein Interactions,,,,,,,,,
Case study,SAXS,Small-angle x-ray scattering,,,,Structural,Experimental,,,,,,,,0,1,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2015,"Santos, Clelton A.; Janissen, Richard; Toledo, Marcelo A.S.; Beloti, Lilian L.; Azzoni, Adriano R.; Cotta, Monica A.; Souza, Anete P.",Characterization of the TolB-Pal trans-envelope complex from Xylella fastidiosa reveals a dynamic and coordinated protein expression profile during the biofilm development process,Biochimica et Biophysica Acta - Proteins and Proteomics,10.1016/j.bbapap.2015.05.018,,,,,,,
Case study,dEDM,Differential electronic density map,,,,Structural,,,,,,,,,0,1,0,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2009,"Fraser, James S.; Clarkson, Michael W.; Degnan, Sheena C.; Erion, Renske; Kern, Dorothee; Alber, Tom",Hidden alternative structures of proline isomerase essential for catalysis,Nature,10.1038/nature08615,,,,,,,
Case study,CD,Critical distances,,,,Structural,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Snelling, David; Shahane, Ganesh; Shipman, William; Balaeff, Alexander; Pearce, Mark; Keinan, Shahar",A Quantum-Inspired Approach to De-Novo Drug Design,,10.26434/CHEMRXIV.12229232.V2,,,,,,,
Case study,TM-score,,,,,Structural,Experimental,,,,Protein,,,,0,1,0,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Guterres, Hugo; Lee, Hui Sun; Im, Wonpil",Ligand-Binding-Site Structure Refinement Using Molecular Dynamics with Restraints Derived from Predicted Binding Site Templates,Journal of Chemical Theory and Computation,10.1021/acs.jctc.9b00751,,,,,,,
Case study,GA-score,,,,,Structural,Experimental,,,,Protein,,,,0,1,0,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Guterres, Hugo; Lee, Hui Sun; Im, Wonpil",Ligand-Binding-Site Structure Refinement Using Molecular Dynamics with Restraints Derived from Predicted Binding Site Templates,Journal of Chemical Theory and Computation,10.1021/acs.jctc.9b00751,,,,,,,
Case study,PH,Persistent homology,,,,Structural,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2017,"Ichinomiya, Takashi; Obayashi, Ippei; Hiraoka, Yasuaki",Persistent homology analysis of craze formation,Physical Review E,10.1103/PhysRevE.95.012504,,,,,,,
Case study,,Curcin protein structure prediction,,,,Structural,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2012,"Srivastava, Mugdha; Gupta, Shishir K; Abhilash, P C; Singh, Nandita",Structure prediction and binding sites analysis of curcin protein of Jatropha curcas using computational approaches.,Journal of molecular modeling,,,,,,,,
Case study,,Olive pollen pectin methylesterase homology modelling and docking,,,,Structural,Experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2012,"Jimenez-Lopez, Jose C.; Kotchoni, Simeon O.; Rodríguez-García, Maria I.; Alché, Juan D.",Structure and functional features of olive pollen pectin methylesterase using homology modeling and molecular docking methods,JOURNAL OF MOLECULAR MODELING,,,,,,,,
Case study,DLP,Drug-like properties,,,,Nonstructural,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Snelling, David; Shahane, Ganesh; Shipman, William; Balaeff, Alexander; Pearce, Mark; Keinan, Shahar",A Quantum-Inspired Approach to De-Novo Drug Design,,10.26434/CHEMRXIV.12229232.V2,,,,,,,
Case study,Rigidity,,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2021,"Kolbaba-Kartchner, Bethany; Kazan, I. Can; Mills, Jeremy H.; Ozkan, S. Banu",The Role of Rigid Residues in Modulating TEM-1 β-Lactamase Function and Thermostability,International Journal of Molecular Sciences,10.3390/ijms22062895,,,,,,,
Case study,,SARS-CoV-2,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2021,"Weng, Ying Li; Naik, Shiv Rakesh; Dingelstad, Nadia; Lugo, Miguel R.; Kalyaanamoorthy, Subha; Ganesan, Aravindhan",Molecular dynamics and in silico mutagenesis on the reversible inhibitor-bound SARS-CoV-2 main protease complexes reveal the role of lateral pocket in enhancing the ligand affinity,Scientific Reports,10.1038/s41598-021-86471-0,,,,,,,
Case study,RMSDvt,RMSD versus time,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2021,"Liang, David; Song, Meichen; Niu, Ziyuan; Zhang, Peng; Rafailovich, Miriam; Deng, Yuefan",Supervised machine learning approach to molecular dynamics forecast of SARS-CoV-2 spike glycoproteins at varying temperatures,MRS Advances,10.1557/s43580-021-00021-4,,,,,,,
Case study,,PDZ allosteric transitions,,,,Dynamic,Experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Bozovic, Olga; Zanobini, Claudio; Gulzar, Adnan; Jankovic, Brankica; Buhrke, David; Post, Matthias; Wolf, Steffen; Stock, Gerhard; Hamm, Peter",Real-time observation of ligand-induced allosteric transitions in a PDZ domain,Proceedings of the National Academy of Sciences,10.1073/pnas.2012999117,,,,,,,
Case study,,Ligand binding to glycosidase,,,,Dynamic,Experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Bdira, Fredj Ben; Waudby, Christopher A.; Volkov, Alexander N.; Schröder, Sybrin P.; Ab, Eiso; Codée, Jeroen D. C.; Overkleeft, Hermen S.; Aerts, Johannes M. F. G.; Ingen, Hugo van; Ubbink, Marcellus",Dynamics of Ligand Binding to a Rigid Glycosidase,Angewandte Chemie International Edition,10/ghgk4c,,,,,,,
Case study,,"Helix bend angle, etc. to describe conf. Transitions",,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Kim, Kuglae; Che, Tao; Panova, Ouliana; DiBerto, Jeffrey F.; Lyu, Jiankun; Krumm, Brian E.; Wacker, Daniel; Robertson, Michael J.; Seven, Alpay B.; Nichols, David E.; Shoichet, Brian K.; Skiniotis, Georgios; Roth, Bryan L.",Structure of a Hallucinogen-Activated Gq-Coupled 5-HT2A Serotonin Receptor,Cell,10.1016/j.cell.2020.08.024,,,,,,,
Case study,,Globin ligand diffusion,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Bringas, Mauro; Lombardi, Leandro E.; Luque, F. Javier; Estrin, Darío A.; Capece, Luciana",Ligand Binding Rate Constants in Heme Proteins Using Markov State Models and Molecular Dynamics Simulations,ChemPhysChem,10/ghgp8j,,,,,,,
Case study,EEN,Energy exchange networks,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Ota, Kunitaka; Yamato, Takahisa",Energy Exchange Network Model Demonstrates Protein Allosteric Transition: An Application to an Oxygen Sensor Protein,The Journal of Physical Chemistry B,10.1021/acs.jpcb.8b10489,,,,,,,
Case study,PCA_NM,Principal component analysis of normal modes,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2018,"Hassan, Sameer; Srikakulam, Sanjay Kumar; Chandramohan, Yuvaraj; Thangam, Manonanthini; Muthukumar, Soundharrya; Devi, P. K. Gayathri; Hanna, Luke Elizabeth",Exploring the conformational landscapes of HIV protease structural ensembles using principal component analysis,"Proteins: Structure, Function, and Bioinformatics",https://doi.org/10.1002/prot.25534,,,,,,,
Case study,SGOOP_Coord,Spectral gap optimization of order parameters coordinates,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2017,"Wang, Yong; Martins, Miguel; Lindorff-Larsen, Kresten; Martins, João Miguel; Lindorff-Larsen, Kresten",Biomolecular conformational changes and ligand binding: From kinetics to thermodynamics,Chemical Science,10.1039/c7sc01627a,,,,,,,
Case study,,Takeout proteins,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2017,"Zhang, Huijing; Yu, Hui; Zhao, Xi; Liu, Xiaoguang; Feng, Xianli; Huang, Xuri",Investigations of Takeout proteins’ ligand binding and release mechanism using molecular dynamics simulation,Journal of Biomolecular Structure and Dynamics,10.1080/07391102.2016.1185646,,,,,,,
Case study,MSM,Markov state models,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2017,"Thayer, Kelly M.; Lakhani, Bharat; Beveridge, David L.",Molecular Dynamics–Markov State Model of Protein Ligand Binding and Allostery in CRIB-PDZ: Conformational Selection and Induced Fit,The Journal of Physical Chemistry B,10/f985tr,,,,,,,
Case study,SASA,Solvent-exposed surface area,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2015,"Bowman, Gregory R.; Bolin, Eric R.; Hart, Kathryn M.; Maguire, Brendan C.; Marqusee, Susan",Discovery of multiple hidden allosteric sites by combining Markov state models and experiments,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1417811112,,,,,,,
Case study,EEN,Energy exchange networks,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2015,"Ishikura, Takakazu; Iwata, Yuki; Hatano, Tatsuro; Yamato, Takahisa",Energy exchange network of inter-residue interactions within a thermally fluctuating protein molecule: A computational study,Journal of Computational Chemistry,https://doi.org/10.1002/jcc.23989,,,,,,,
Case study,PCA_NM,Principal component analysis of normal modes,,,,Dynamic,,,,,,,,,0,1,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2012,"Gendoo, Deena M. A.; Harrison, Paul M.",The Landscape of the Prion Protein's Structural Response to Mutation Revealed by Principal Component Analysis of Multiple NMR Ensembles,PLOS Computational Biology,10.1371/journal.pcbi.1002646,,,,,,,
Case study,,Ligand binding in myoglobin,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,1975,"Austin, R. H.; Beeson, K. W.; Eisenstein, L.; Frauenfelder, H.; Gunsalus, I. C.",Dynamics of Ligand Binding to Myoglobin,Biochemistry,10.1021/bi00695a021,,,,,,,
Case study,,Neuramidase inhibitor design,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2015,"Tambunan, Usman Sumo Friend.; Parikesit, Arli Aditya; Unadi, Yossy Carolina; Kerami, Djati",Designing Cyclopentapeptide Inhibitor of Neuraminidase H5N1 Virus Through Molecular and Pharmacology Simulations,Tsinghua Science and Technology,,,,,,,,
Case study,,Histone deacetylase drug design,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2015,"Tambunan, Usman S.F.; Parikesit, Arli A.; Ghifari, Abi S.; Satriyanto, Cipta Prio","In silico identification of 2-oxo-1,3-thiazolidine derivatives as novel inhibitors candidate of class II histone deacetylase (HDAC) in cervical cancer treatment",Arabian Journal of Chemistry,10.1016/j.arabjc.2015.07.010,,,,,,,
Case study,,Small protein folding,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2003,"Cavalli, Andrea; Haberthür, Urs; Paci, Emanuele; Caflisch, Amedeo",Fast protein folding on downhill energy landscape.,Protein science : a publication of the Protein Society,10.1110/ps.0366103,,,,,,,
Case study,RMSFvRes,Root-mean-square fluctuation versus residue,,,,Dynamic,,,,,,,,,0,1,1,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Ali, Amanat; Vijayan, Ranjit",Dynamics of the ACE2 - SARS-CoV/SARS-CoV-2 spike protein interface reveal unique mechanisms,bioRxiv,10.1101/2020.06.10.143990,,,,,,,
Case study,CAVER,,,,,Dynamic,,,,,,Singular,,,0,1,1,,,,0,0,Pocket/Surface,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Mukherjee, Goutam; Nandekar, Prajwal P; Wade, Rebecca C",Electron Transfer from Cytochrome P450 Reductase to Cytochrome P450: Towards a Structural and Dynamic Understanding,,10.1101/2020.06.12.149112,,,,,,,
Case study,,Tau inhibitor design/screening,,,,Dynamic,Experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Pradeepkiran, Jangampalli; Reddy, P.",Structure Based Design and Molecular Docking Studies for Phosphorylated Tau Inhibitors in Alzheimer's Disease,Cells,10.3390/cells8030260,,,,,,,
Case study,,Rhodanese folding simulations,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2009,"Ren, Ying; Gao, Jian; Xu, Ji; Ge, Wei; Li, Jinghai",Explicit solvent molecular dynamics simulations of chaperonin-assisted rhodanese folding,Particuology,10.1016/j.partic.2009.03.001,,,,,,,
Case study,,Several features selected,,,,Composite,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Pal, Sourav; Kumar, Vinay; Kundu, Biswajit; Bhattacharya, Debomita; Preethy, Nagothy; Reddy, Mamindla Prashanth; Talukdar, Arindam","Ligand-based Pharmacophore Modeling, Virtual Screening and Molecular Docking Studies for Discovery of Potential Topoisomerase I Inhibitors",Computational and Structural Biotechnology Journal,10.1016/j.csbj.2019.02.006,,,,,,,
Case study,,Catalysis of cyclophilin A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2003,"Howard, Bruce R.; Vajdos, Felix F.; Li, Su; Sundquist, Wesley I.; Hill, Christopher P.",Structural insights into the catalytic mechanism of cyclophilin A,Nature Structural Biology,10.1038/nsb927,,,,,,,
Case study,Protein engineering,,,,,,Experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2018,"Bregman-Cohen, Almog; Deri, Batel; Maimon, Shiran; Pazy, Yael; Fishman, Ayelet",Altering 2-{Hydroxybiphenyl} 3-{Monooxygenase} {Regioselectivity} by {Protein} {Engineering} for the {Production} of a {New} {Antioxidant},ChemBioChem,10.1002/cbic.201700648,,,,,,,
Collection,,Large feature set pre-coded. Check out if website allows connections. Failed connecting 8/4/21,,,,All,Computational,,,,,,,Both,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2016,"Dhifli, Wajdi; Diallo, Abdoulaye Baniré",PGR: A Graph Repository of Protein 3D-Structures,,,,,,,,,
Comparison,dResPair,Difference between pairs of residues (i and i+1),,,,All,Computational,,,,,,,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2018,"Brereton, Andrew E.; Karplus, P. Andrew",Ensemblator v3: Robust atom-level comparative analyses and classification of protein structure ensembles,Protein Science,10.1002/pro.3249,,,,,,,
Comparison,dActiv,Difference between activated and inactivated state,,,,Dynamic,Computational,,,,Protein,,,Both,0,1,1,1,1,1,0,0,0,1,,,,,,0,,0,0,0,0,0,,,1,,,,,,,,,,,--,0,,,,,,,,,,,,,,journalArticle,2019,"Zhou, Qingtong; Yang, Dehua; Wu, Meng; Guo, Yu; Guo, Wanjing; Zhong, Li; Cai, Xiaoqing; Dai, Antao; Jang, Wonjo; Shakhnovich, Eugene I.; Liu, Zhi-Jie; Stevens, Raymond C.; Lambert, Nevin A.; Babu, M. Madan; Wang, Ming-Wei; Zhao, Suwen",Common activation mechanism of class A GPCRs,eLife,10.7554/eLife.50279,,,,,,,
Comparison,dNC_ab_vres,Difference in residue-wise contact number versus residue between state a and b.,,,,Structural,Computational,,,,Residue,,,Both,0,1,1,0,0,0,0,0,1,0,,1,,,,0,,0,0,0,0,0,,,0,,,,,,,,,,,--,0,,,,,,,,,,,,,,journalArticle,2002,"Ding, Feng; Dokholyan, Nikolay V; Buldyrev, Sergey V; Stanley, H Eugene; Shakhnovich, Eugene I",Direct molecular dynamics observation of protein folding transition state ensemble.,Biophysical journal,10.1016/S0006-3495(02)75352-6,,,,,,,
Comparison,DMIF_excess,Dynamic molecular interaction field excess,,,,Dynamic,Computational,,,,Atom,,,Both,0,1,1,1,0,0,0,0,1,0,,,,,,1,,1,1,1,1,1,,,1,0,,,,,,,,,,Node,0,,,,,,,,,,,,,,journalArticle,2019,"Schaller, David; Pach, Szymon; Wolber, Gerhard",PyRod: Tracing Water Molecules in Molecular Dynamics Simulations,Journal of Chemical Information and Modeling,10.1021/acs.jcim.9b00281,,,,,,,
Comparison,dPocket,Difference between two pockets,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2013,"Liu, Jie; Liao, Chenyi; Zhou, Jian",Multiscale simulations of protein G B1 adsorbed on charged self-assembled monolayers,Langmuir,10.1021/la401171v,,,,,,,
Comparison,dRABO,Relative antibody binding orientation,,,,Structural,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2013,"Liu, Jie; Liao, Chenyi; Zhou, Jian",Multiscale simulations of protein G B1 adsorbed on charged self-assembled monolayers,Langmuir,10.1021/la401171v,,,,,,,
Comparison,dExpComp,Difference in a given metric between experimental and computational methods,,,,Structural,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,1987,"Lautz, J.; Kessler, H.; Kaptein, R.; van Gunsteren, W. F.",Molecular dynamics simulations of cyclosporin A: the crystal structure and dynamic modelling of a structure in apolar solution based on NMR data,Journal of Computer-Aided Molecular Design,10.1007/BF01677046,,,,,,,
Comparison,OTC,Observed to crystallize,Figure,"2,3",,Nonstructural,Experimental,,,,Molecule,,,,1,0,1,,1,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,journalArticle,2016,"Wicker, Jerome G.P.; Cooper, Richard I.",Beyond Rotatable Bond Counts: Capturing 3D Conformational Flexibility in a Single Descriptor,Journal of Chemical Information and Modeling,10.1021/acs.jcim.6b00565,,,,,,,
Comparison,dEfield,With or without electric field of a given magnitude,Figure,4C,,Nonstructural,Computational,,,,Molecule,,,,1,0,0,,0,,1,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,journalArticle,2014,"Camilloni, Carlo; Sahakyan, Aleksandr B.; Holliday, Michael J.; Isern, Nancy G.; Zhang, Fengli; Eisenmesser, Elan Z.; Vendruscolo, Michele",Cyclophilin a catalyzes proline isomerization by an electrostatic handle mechanism,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1404220111,,,,,,,
Comparison,dIS,Difference in ionic strength,Page,140,,Nonstructural,Computational,,,,Molecule,,,,1,0,0,,0,,0,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,journalArticle,2010,"Raffaini, G; Ganazzoli, F",Protein adsorption on biomaterial and nanomaterial surfaces: a molecular modeling approach to study non-covalent interactions,Journal of Applied Biomaterials & Biomechanics,10.5301/JABB.2010.6093,,,,,,,
Comparison,dNet,Difference between two networks,,,,Math,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Bagrow, James P.; Bollt, Erik M.","An information-theoretic, all-scales approach to comparing networks",Applied Network Science,10.1007/s41109-019-0156-x,,,,,,,
Comparison,dRMSF,Change in RMSF for individual residues when treatments are applied,,,,Dynamic,Computational,Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Babbitt, Gregory A.; Fokoue, Ernest P.; Evans, Joshua R.; Diller, Kyle I.; Adams, Lily E.",DROIDS 3.0—Detecting Genetic and Drug Class Variant Impact on Conserved Protein Binding Dynamics,Biophysical Journal,10.1016/j.bpj.2019.12.008,,,,,,,
Comparison,deltaL_i,Change of reachability for each residue in a protein structure,,,,Dynamic,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Xiao, Fei; Song, Xingyu; Tian, Peiyi; Gan, Mi; Verkhivker, Gennady M.; Hu, Guang",Comparative Dynamics and Functional Mechanisms of the CYP17A1 Tunnels Regulated by Ligand Binding,Journal of Chemical Information and Modeling,10.1021/acs.jcim.0c00447,,,,,,,
Comparison,dBound,Difference between bound and unbound states,,,,All,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2018,"Zhou, Hongyu; Dong, Zheng; Tao, Peng",Recognition of protein allosteric states and residues: Machine learning approaches,Journal of Computational Chemistry,https://doi.org/10.1002/jcc.25218,,,,,,,
Comparison,dAvg,Difference between averages,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Wang, Debby D.; Ou-Yang, Le; Xie, Haoran; Zhu, Mengxu; Yan, Hong",Predicting the impacts of mutations on protein-ligand binding affinity based on molecular dynamics simulations and machine learning methods,Computational and Structural Biotechnology Journal,10.1016/j.csbj.2020.02.007,,,,,,,
Comparison,dTraj,Difference between trajectories,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Wang, Debby D.; Ou-Yang, Le; Xie, Haoran; Zhu, Mengxu; Yan, Hong",Predicting the impacts of mutations on protein-ligand binding affinity based on molecular dynamics simulations and machine learning methods,Computational and Structural Biotechnology Journal,10.1016/j.csbj.2020.02.007,,,,,,,
Comparison,dTS,Difference between time series,,,,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Wang, Debby D.; Ou-Yang, Le; Xie, Haoran; Zhu, Mengxu; Yan, Hong",Predicting the impacts of mutations on protein-ligand binding affinity based on molecular dynamics simulations and machine learning methods,Computational and Structural Biotechnology Journal,10.1016/j.csbj.2020.02.007,,,,,,,
Comparison,dDyn,Comparison of the same metric before and after a molecular dynamics run,,,,Dynamic,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Pradeepkiran, Jangampalli; Reddy, P.",Structure Based Design and Molecular Docking Studies for Phosphorylated Tau Inhibitors in Alzheimer's Disease,Cells,10.3390/cells8030260,,,,,,,
Comparison,dAbs,Differential absorbance spectrum,Figure,4F,,Dynamic,Experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2012,"Hay, Sam; Scrutton, Nigel S.",Good vibrations in enzyme-catalysed reactions,Nature Chemistry,10.1038/nchem.1223,,,,,,,
Comparison,dBound,Difference in a given metric between being bound to a partner and being unbound,Figure,"2A,2B",,Dynamic,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2009,"Hamelberg, Donald; Mecammon, J. Andrew",Mechanistic insight into the role of transition-state stabilization in cyclophilin A,Journal of the American Chemical Society,10.1021/ja806146g,,,,,,,
